,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
166,ALL,T2T,19.143793286559315,<0.01,342,343,0.15890263404585855,2.2915961551250916,1.8555088286648753e-15,1.03,True,True,max
167,ALL,T2S,20.10749767654602,<0.01,342,343,0.15913731668792047,1.1219512233258904,1.2388569092535353e-14,1.09,True,True,max
168,ALL,S2T,14.6613141359422,<0.01,404,405,0.0891166357829431,3.803605355528431,3.482187684661977e-24,0.73,True,True,max
169,ALL,SF2T,19.889090261224098,<0.01,404,405,0.1343283296459251,1.5486655904209972,4.30434202229121e-18,0.99,True,True,max
170,ALL,SM2T,19.61831008374426,<0.01,404,405,0.13182083424180746,1.5182240442911068,2.9952818094664295e-18,0.97,True,True,max
171,ALL,S2S,13.970325638846576,<0.01,404,405,0.09342503616655315,4.0422176894533886,3.375282359377467e-25,0.69,True,True,max
172,ALL,SF2S,18.35720082664349,<0.01,404,405,0.13940955900506657,2.049905192096235,3.290005624730792e-20,0.91,True,True,max
173,ALL,SM2S,19.071990732547874,<0.01,404,405,0.13623404155174892,1.9206236073232574,2.817429640099083e-19,0.95,True,True,max
174,T2*,S2*,-5.89095233530599,<0.01,324,325,-0.06825878328142258,0.7117352558033234,0.011128590205152425,-0.33,True,True,max
175,T2*,S2T,-1.7653592174908828,0.08,324,325,-0.021166019700467588,0.3558682844378831,0.15536126674988074,-0.1,False,False,max
176,T2*,SF2T,2.1344948483698167,0.03,324,325,0.024759690010776887,0.3603542600809715,0.11670888961405815,0.12,False,False,max
177,T2*,SM2T,2.1696948121949884,0.03,324,325,0.02591031144158198,0.16683470384582932,0.7507635603852687,0.12,False,False,max
178,T2*,S2S,-0.6371022974382767,0.52,324,325,-0.006986266891830243,0.6580573527094753,0.0025012356411599577,-0.04,False,True,max
179,T2*,SF2S,3.8973167222763045,<0.01,324,325,0.04340433662900558,0.8728928716783395,0.0032781369612041988,0.22,True,True,max
180,T2*,SM2S,3.674223818741917,<0.01,324,325,0.038874862156808375,0.41152451780943444,0.0546477762834812,0.2,True,False,max
181,S2*,T2T,10.744485699516462,<0.01,324,325,0.11573399411872602,0.22315059981023877,0.7137962932886338,0.6,True,False,max
182,S2*,T2S,9.976559951158922,<0.01,324,325,0.11292548919132409,1.096879765030141,0.0016887991962039606,0.55,True,True,max
183,*2T,*2S,0.9585805854174091,0.34,422,423,0.006762835433283913,3.3991267963419753,9.175147918533437e-11,0.05,False,True,max
184,*2T,T2S,11.873392195364719,<0.01,342,343,0.11302813586443608,1.9024521536629617,9.698241138426122e-07,0.64,True,True,max
185,*2T,S2S,5.827370364620343,<0.01,404,405,0.04475223873052056,2.7947699334856537,1.8843937927745442e-12,0.29,True,True,max
186,*2T,SF2S,11.329391474737966,<0.01,404,405,0.09073676156903399,1.6806387929732525,5.198497247847035e-10,0.56,True,True,max
187,*2T,SM2S,11.537850930024016,<0.01,404,405,0.08756124411571634,2.1296004815960856,4.4840285312318726e-11,0.57,True,True,max
188,*2S,T2T,10.767868199769369,<0.01,342,343,0.09610483253513172,2.58113811855523,3.0340275535672376e-06,0.58,True,True,max
189,*2S,S2T,4.410256774195109,<0.01,404,405,0.03583292688852475,2.9063736380974117,1.9782845281218904e-10,0.22,True,True,max
190,*2S,SF2T,10.012543946131292,<0.01,404,405,0.08104462075150676,1.9974816136781532,3.339733341272677e-08,0.5,True,True,max
